Maison de la culture de Cote-des-Neiges;;
",Storytime,""January 21, February 18, March 18, May 13, June 10 at 10:30 a.m."",Tout petits contes,Ages 18 months to 3,Registration opens one month before each activity";;
,Fairy Tales,January 21 at 2 p.m.,Kamishibaï : histoires d’hiver,Ages 6 to 9 - Presented by Le Théâtre du Cerisier ,Register as of December 21;;
",Workshop,""January 22, February 19, March 19, May 14, June 11 at 10:30 a.m."",Éveil aux livres et à la musique,Ages 6 to 18 months - Presented by Catherine Lévesque,Registration opens one month before each activity";;
",Storytime,""January 26, February 23, March 23, April 20, May 18 at 10:30 a.m."",Les tout petits petons,Ages 0 to 2,Registration opens one month before each activity";;
,Reading Club,January 28 and February 18 at 2 p.m.,La vie des autres : les biographies à l’honneur,Ages 8 to 10,Register as of December 28;;
",Storytime ,""January 29, March 26, April 23, May 21 at 10:30 a.m."",Storytime in mandarin,Ages 3 to 6 - Presented by Yu Lin Tung - Activities presented with financial support from Les Amis des bibliothèques de Montréal,Registration opens one month before each activity";;
,Crafts,February 5 from 1 p.m. to 4 p.m.,Festive crafts marking the first anniversary of the Benny Library,Ages 4 to 13,Free admission;;
",Workshop,""February 5, April 2 and 30, May 28 at 10:30 a.m."",Science Playground (in english),Ages 3 to 6 - Presented by Steven Rosenstein,Registration opens one month before each activity";;
,Fairy Tales,February 11 at 2 p.m.,Contes africains,Ages 7 to 12 - Presented by Rythme du Baobab - Presented as part of Black History Month,Register as of January 11;;
",Storytime,""February 12, April 9 at 10:30 a.m."",Storytime in spanish,Ages 3 to 6,Registration opens one month before each activity";;
,Computing Workshop,February 25 at 2 p.m.,Scratch (bilingual),Ages 7 to 9 - Presented by Kids Code Jeunesse,Register as of January 25;;
,Society Games,February 26 & March 5 at 10:30 a.m.,Tout petits jeux,Ages 4 to 5 - Presented as part of the Festival Montréal joue,Register as of January 26;;
",Games,""February 27 and 28, March 1 at 1 p.m."",Casse-têtes en cours,Ages 4 + - Presented as part of the Festival Montréal joue,Free admission";;
,Video Games,March 4 at 2 p.m.,Tournoi Just Dance,Ages 8 to 13 - Presented as part of the Festival Montréal joue,Register as of February 4;;
,Video Games,March 3 and 10 at 3:30 p.m.,Tournoi FIFA,Ages 8 to 13 - Presented as part of the Festival Montréal joue,Register as of February 3;;
,Society Games,March 7 at 2 p.m.,Jeux de mots,Ages 8 to 13 - Presented as part of the Festival Montréal joue,Register as of February 7;;
",Society Games,March 8 at 2 p.m.,""Clue, Scotland Yard et autres enquêtes"",Ages 8 to 13 - Presented as part of the Festival Montréal joue,Register as of February 8";;
,Society Games,March 9 at 2 p.m.,Initiation au jeu de Go,Ages 8 to 13 - Presented as part of the Festival Montréal joue,Register as of February 9;;
,Society Games,March 11 at 2 p.m.,La caravane ludique,Ages 7 + - Presented by Randolph Animation - Presented as part of the Festival Montréal joue,Register as of February 11;;
,Contest,March 13 to 31,La poésie est sur le dos,Ages 5 to 13 - Small prizes for poetry in CDN-NDG - Presented as part of the Festival J’aime la poésie,Register now;;
,Literary Workshop,March 18 at 2 p.m.,Poésie ludique : Dans ma cour !,Ages 7 + - Presented by Maryse Perron - Presented as part of the Festival J’aime la poésie,Register as of February 18;;
,Workshop,March 25 at 2 p.m.,Green Smoothie,Ages 7 to 10 - Presented as part of Nutrition Month,Register as of February 25;;
,Collective Crafts,April 1 to 30,J’aime Montréal Mural,Ages 3 to 13 - Tell us why you love Montréal! - Presented as part of the festivities marking the 375th anniversary of Montréal,Register now;;
,Storytime and Crafts,April 2 at 2 p.m.,Histoires et oeufs de Pâques,Ages 6 to 8,Register as of March 2;;
,Computing Workshop,April 8 at 2 p.m.,HTML (Bilingual),Ages 8 to 10 - Presented by Kids Code Jeunesse,Register as of March 8;;
,Dance Workshop,April 22 at 2 p.m.,Gumboot,Ages 6 to 12 - Presented by Rythme du Baobab,Register as of March 22;;
,Fairy Tales,April 30 at 2 p.m.,Contemos historias : lectures partagées en espagnol,Ages 6 to 9,Register as of March 30;;
,Reading Club,May 6 and 20 at 2 p.m.,C’est vraiment trop bête ! La BD animalière,Ages 11 to 13,Register as of April 6;;
,Workshop,May 28 at 2 p.m.,BD trouée,Ages 8 to 10,Register as of April 28;;
,TEENS - Registration by phone at 514 872-4636.,,,,;;
,Video Games,February 7 to May 30 at 4 p.m.,Game over,Ages 14 to 18,Free admission;;
,Teen Evening,May 5 from 6:30 p.m. to 9:30 p.m.,Teen Evening,Ages 12 to 17 - Activity reserved for teens,Mandatory registration;;
,ADULTS - Registration by phone at 514 872-4147.,,,,;;
",Book Club in English,""January 10, February 7, March 7, April 4, May 2 at 10 a.m."",Benny Book Club,Adults,Register now";;
",Club de tricot / Knitting club,""January 14 and 28, February 11 and 25, March 11 and 25, April 8 and 22, May 6 and 20 from 1 p.m. to 4 p.m."",Club de tricot / Knitting club,Adults - Beginners and experts alike ate invited to knit and chat,Register now";;
",Atelier informatique en français,""Un mardi sur deux, dès le 17 janvier de 13 h à 15 h"",Littératie numérique,""Adultes – débutants - Suite de quatre périodes d’introduction à l’informatique, à Internet, au courriel et aux iPad"",Register now";;
",Computing Workshop in English,Every Wednesday as of January 18 from 1 p.m. to 3 p.m.,Digital Literacy Primer,""Adults – beginners - Four-session primer on computers, the Internet, e-mail and iPads"",Register now";;
,Computing Workshop,January 24 (in English) and 7 février (en français) from 1 p.m. to 3 p.m.,Réseaux sociaux / Social Networks,Adults - intermediate,Register now;;
",Reading Workshop,""January 28, February 11 and 25, March 11 and 25, April 8 and 22 at 10 a.m."",Mots partagés,Adults - Presented by Béatrice Swift - Literary exchanges between francophones and learners,Register now";;
,Presentation in French,January 28 at 2 p.m.,Rénovations écoénergétiques en milieu résidentiel,Adults - Presented by Diane Bastien,Register now;;
",Film Club,""January 31, February 28, April 4, May 2 at 7 p.m."",Club cinéma multiethnique,Adults ,Register now";;
",Book Club in French,""February 1, March 1, April 5, May 3 at 7 p.m."",Club de lecture Benny,Adults ,Register now";;
,Computing Workshop,February 21 (in English) and 7 mars (en français) from 1 p.m. to 3 p.m.,Prêt numérique / E-Books,Adults - intermediate,Register now;;
",Writing Workshop,""March 4 and 18, April 1 and 22, May 13 and 27 at 1 p.m."",Partageons nos mémoires,Adults - Presented by Carmen Marois,Register now";;
,Meet the Author,March 11 at 10 a.m.,Meeting with Aki Shimazaki,Adults,Register now;;
",Presentation in French,March 14 at 7 p.m.,Thomas Hellman – Rêver l’Amérique,""Adults - Followed by a show on Friday, March 31"",Passes for the show available as of March 17";;
,Presentation in French,March 15 at 7 p.m.,Planification de la retraite,Adults - Presented by CPA Canada,Register now;;
,Computing Workshop,March 21 (in English) ant 4 avril (en français) from 1 p.m. to 3 p.m.,Microsoft Office,Adults – intermediate,Register now;;
,Computing Workshop,April 18 (in English) and 2 mai (en français) from 1 p.m. to 3 p.m.,IPad,Adults – intermediate,Register now;;
,Presentation in English,April 25 at 7 p.m.,Beyond Motor Symptoms,Adults - Presented by Parkinson Montréal-Laval,Register now;;
",Meet the Author,May 20 at 2 p.m.,""Rencontre avec Zviane, auteure de bandes dessinées"",""Adults - Presented in May, comic strip month in Montréal libraries"",Register now";;
,FOR ALL - Registration by phone at 514 872-4147.,,,,;;
",Creative Workshop,""January 21, February 18, March 18, April 22 and May 20"",Ruche d’art pop up,For all - With La Ruche d’Art NDG Art Hive,Free admission";;
,Benny Fab,Wednesdays from 4 p.m. to 7 p.m. and Sundays from 1 p.m. to 4 p.m.,Free Access Period,Fab lab for all - Introduction to technologies used to create and complete personal or collective projects,As of January 15;;
,Benny Fab,Tuesdays from 3 p.m. to 6 p.m.,Access on demand,Fab lab for all - Benefit from an additional period to finalize your creations,As of January 17;;
",Benny Fab,Sundays from 10 a.m. to 1 p.m.,Maker Clubs,""Fab lab for all - Monthly club on robotics, electronics, 3D modelling and video game design"",As of January 15";;
Cote-des-Neiges Library;;
,Get-together,January 11 to June 21 at 3:30 p.m.,Mercredi en jeux,Ages 6 to 13,Register now at the youth counter;;
",Workshop,""Thursdays, January 12 to February 23 at 2:30 p.m."",Le mat du berger,Ages 7 + - Chess club,Register now at the youth counter";;
",Storytime,""January 15 and 22, February 5 and 12, March 5, 12 and 19, April 2 and 9, May 7, 14 and 28 at 10:30 a.m."",Contes bricolos,Ages 3 to 6,Register at the youth counter";;
,Storytime,January 21 at 10:30 a.m.,Les histoires de pirouettes,Ages 3 to 6 - Presented by Rosette D’Aragon - Presented with financial support from Les Amis de la bibliothèque de Montréal,Register now at the youth counter;;
",Workshop,January 24 at 3:30 p.m.,""Tricoter sans broche, ça se peut ?"",Ages 8 +,Register now at the youth counter";;
",Storytime,""January 27, February 24, March 31, April 28, May 26 at 10:30 a.m."",Les petites menottes,Ages 0 to 20 months ,Register at the youth counter";;
",Storytime,""January 28, February 11, March 11, April 1, May 6 and 27 at 10:30 a.m."",Les contes du samedi,Ages 3 to 6,Register at the youth counter";;
,Crafts-Music,February 4 at 10:30 a.m.,Harpe-maracas,Ages 3 to 6 - Presented by Jeunesses musicales du Canada,Register at the youth counter as of January 4;;
",Storytime,February 8 at 6:30 p.m.,""Doudou, pyjamas et chocolat"",Ages 3 to 6,Register at the youth counter as of January 8";;
,Storytime,February 19 at 10:30 a.m.,Histoires pour grandir et rêver,Ages 18 months to 3 - Presented by Sonia Péguin - Presented with financial support from Les Amis de la bibliothèque de Montréal ,Register at the youth counter as of January 19;;
,Storytime,February 25 and March 25 at 10:30 a.m.,Les contes de MME Solène,Ages 3 to 6 - Presented by Solène Deshaies - Presented with financial support from Les Amis de la bibliothèque de Montréal,Register at the youth counter;;
,Games,February 25 to March 12,Défis des biblios,Ages 0 to 13 - Which library will meet the most challenges? - Presented as part of the Festival Montréal Joue,Register at the youth counter;;
,Meeting,March 2 and 9 at 2:30 p.m.,Inter-Library Chess Tournament,Ages 7 + - The meeting on March 9 will take place at the Intercultural Library - Presented as part of the Festival Montréal Joue,Register at the youth counter as of February 2;;
,Storytime,March 4 and April 29 at 10:30 a.m.,Tout petits contes,Ages 18 months to 3,Register at the youth counter;;
",Creative Workshop,""March 4, 6, 7, 8 and 10 from 1:30 p.m. to 4:30 p.m."",Club de conception de jeux TD,Ages 8 to 12 - Series of five workshops presented by Randolph - Presented as part of the Festival Montréal Joue,Register at the youth library technician’s desk as of February 4";;
",Games Workshop,March 11 from 2 p.m. to 4 p.m.,""Des jeux, des jeux, encore des jeux !"",Ages 6 to 13 - Launch and introduction to new games at the library - Presented as part of the Festival Montréal Joue,Register at the youth counter as of February 11";;
,Contest,March 13 to 31,La poésie est sur le dos,Ages 5 to 13 - Small prizes for poetry in CDN-NDG - Presented as part of the Festival J’aime la poésie,Register at the youth counter;;
,Collective Work,March 13 to 31,Cadavre exquis,Ages 5 to 13 - Presented as part of the Festival J’aime la poésie,Register at the youth counter;;
,Workshop,March 23 at 3:30 p.m.,Haïku,Ages 7 to 13,Register at the youth counter as of February 23;;
,Collective Crafts,April 1 to 30,Murale Montréal par les livres,Ages 3 to 13 - Tell us why you love Montréal - Presented as part of the activities marking the 375th anniversary of Montréal,Register at the youth counter;;
,Stories and Sustainable Creation Workshop,April 8 at 10:30 a.m.,Glaneuses fabuleuses,Ages 4 to 6 - Presented by Marie-Claude Leclerc - Presented with financial support from Les Amis de la bibliothèque de Montréal,Register at the youth counter as of March 8;;
,Workshop,April 13 at 3:30 p.m.,Signets rigolos-écolos,Ages 7 +,Register at the youth counter as of March 13;;
,Storytime,April 23 at 10:30 a.m.,Brico-livres,Ages 3 to 6 - Presented as part of World Book and Copyright Day,Register at the youth counter as of March 23;;
